ПІБ	Так	Ні	Утрималися	Не голосували	
Бляшин Микола Степанович	650	2	6	240	
Павелків Віталій Романович	1245	75	79	133	
Стельмащук Святослав Володимиров	1221	63	404	74	
Запорожець Юрій Миколайович	724	1	140	121	
Загоровський Назарій Богданович	1153	10	436	79	
Зиль Володимир Васильович	813	15	38	49	
Євтушенко Святослав Ігорович	1087	60	243	341	
Бобровський Анатолій Леонідович	302	18	243	101	
Грудницький Володимир Миколайови	881	10	185	17	
Паладійчук Сергій Богданович	2000	62	300	315	
Карпяк Олег Віталійович	2066	19	636	136	
Зелінська Лариса Володимирівна	751	7	185	135	
Нестерук Олександр Петрович	1928	102	298	143	
Чубай Олександр  Степанович	402	2	47	86	
Хомко Володимир Євгенович	2176	39	184	300	
Довжаниця Олександр Костянтинови	1103	52	395	125	
Покальчук Ольга Кузьмівна	886	9	116	36	
Пилипчук Ірина Стахівна	1157	7	88	178	
Чубай Тетяна Василівна	819	17	183	104	
Рязанов Станіслав Анатолійович	300	20	53	81	
Муляренко Олексій Віталійович	158	0	13	37	
Пожарський Петро Володимирович	1337	27	50	292	
Коваленко Володимир Григорович	767	12	118	11	
Конощук Марія Василівна	924	3	107	44	
Чубай Олександр Степанович	1028	4	70	235	
Остапчук Андрій Олександрович	137	0	12	59	
Хмилецький Олексій Віталійович	904	1	66	94	
Кудрін Володимир В’ячеславович	747	59	118	260	
Года Маріян Адамович	1741	84	85	149	
Романенко Юрій Іванович	762	2	70	114	
Вівсянник Віктор Михайлович	363	0	4	452	
Демчук Валентин Вікторович	657	12	167	73	
Крюков Олександр Володимирович	1269	4	434	29	
Богатирчук-Кривко Світлана Кирил	591	18	80	27	
Іванова Анна Григорівна	1103	3	411	119	
Кімстач Ніна Іванівна	834	7	175	19	
Мітін Юрій Олексійович	992	39	205	95	
Бабат Олександр Володимирович	1507	36	82	114	
Кузьмич Андрій Вікторович	1542	69	105	134	
Максименко Тарас Анатолійович	850	36	59	41	
Керницький Олексій Богданович	520	0	93	11	
Сидоришин Сергій Федорович	942	10	147	18	
Васильчук Сергій Миколайович	2092	30	237	191	
Попик Володимир Володимирович	1294	81	78	149	
Власенко  Василь Федорович	665	6	80	25	
Муляренко Олексій ВіталійовичМул	772	18	78	96	
Тимощук Тамара Ульянівна	1161	13	125	110	
Шамшин Павло Володимирович	538	7	81	76	
Гладун Любомир Володимирович	468	2	260	145	
Жаровський Михайло Богданович	733	2	55	54	
Радько Микола Олексійович	980	0	129	14	
Криж Ольга Василівна	1169	75	226	278	
Петролюк Роман Васильович	1188	11	445	84	
Сачук Антон Олександрович	843	5	187	49	
Галайчук Едуард Костянтинович	859	6	169	25	
Шевчук Руслан Степанович	913	1	66	36	
Романюк Любов Володимирівна	1249	52	392	164	
Сачук Олександр Миколайович	964	34	109	16	
Яворський Роман Степанович	1322	22	446	87	
Смолярчук Ольга Аркадіївна	838	4	102	15	
Малашинський В’ячеслав Віталійов	58	0	6	13	
Лащук Анатолій Петрович	1319	120	251	135	
Кульчинська Галина Григорівна	952	19	39	261	
Чирак Людмила Вікторівна	1335	8	134	135	
Першогуба Віталій Леонтійович	763	23	134	88	
Сідлецький Юрій Юліанович	585	0	53	9	
Гапяк Богдан Володимирович	1574	32	157	113	
Осіпчук Юрій Юрійович	917	3	289	53	
Чугуєвець Анатолій Олександрович	2610	17	36	250	
Лащук Олександр Іванович	872	25	59	161	
Ковалець Ігор Костянтинович	1506	20	143	127	
Сухий Юрій Володимирович	1087	88	228	290	
Грещук Андрій Васильович	1004	3	66	45	
Харковець Василь Степанович	984	4	76	34	
Стасюк Роман Павлович	832	69	223	592	
Дзецько Олег Вікторович	1245	16	461	56	
Немеш Василь Михайлович	620	74	103	222	
Валявка Володимир Ярославович	258	13	57	100	
Курсик Олександр Васильович	1780	132	20	335	
Хорхолюк Артур Володимирович	909	7	123	28	
Виноградова Ірина Павлівна	681	3	120	68	
Туровська Людмила Валентинівна	2341	47	156	305	
Поліщук Назарій Миколайович	1480	3	51	252	
Озімковська Антоніна Володимирів	766	0	29	177	
